metric,target,sigma_obs,sigma_model,sigma_ev,sigma_ev_quantile,var_obs,var_md,var_ev,source_ev,replicate_groups,enabled_for_sa,notes
Employment_mean,65.0,5.0,5.58624,,0.9,25.0,31.2060773376,6.774250000000023,seed_replicates,250,True,
Output_mean,80.0,10.0,11.17248,,0.9,100.0,124.8243093504,12.891644057262429,seed_replicates,250,True,
Consumption_mean,80.0,10.0,11.17248,,0.9,100.0,124.8243093504,11.147243236151034,seed_replicates,250,True,
AvgPrice_mean,1.05,0.05,0.0651728,,0.9,0.0025000000000000005,0.00424749385984,0.00033298418278445173,seed_replicates,250,True,
DefaultsHH_rate,0.004,0.002,0.0025392000000000006,,0.9,4e-06,6.447536640000003e-06,1.8370370370369377e-07,seed_replicates,250,True,
BankFailed_share,0.0,0.01,0.008464000000000001,,0.9,0.0001,7.163929600000002e-05,0.0,seed_replicates,250,True,
BankResolved_share,0.05,0.03,0.04232000000000001,,0.9,0.0009,0.0017909824000000008,0.000577777777777776,seed_replicates,250,True,
BankResolutionHaircut_mean,0.02,0.01,0.016928000000000002,,0.9,0.0001,0.0002865571840000001,5.171376219346904e-06,seed_replicates,250,True,
BankBailedOut_share,0.02,0.02,0.025392,,0.9,0.0004,0.000644753664,0.0,seed_replicates,250,True,
BankBailoutAmount_mean,0.2,0.2,0.19636480000000003,,0.9,0.04000000000000001,0.038559134679040014,0.0,seed_replicates,250,True,
Transfers_mean,6.5,2.0,1.963648,,0.9,4.0,3.855913467904,0.08553140137266245,seed_replicates,250,True,
HH_Deposit_mean,1.5,1.0,0.981824,,0.9,1.0,0.963978366976,1.0733623908139955,seed_replicates,250,True,
Bank_Equity_mean,10.0,7.5,6.551136000000001,,0.9,56.25,42.91738289049602,9.187860659565478,seed_replicates,250,True,
PriceDispersion_mean,0.1,0.06,0.101568,,0.9,0.0036,0.010316058624,0.00030864434489469544,seed_replicates,250,False,
InventoryGap_mean,0.0,0.25,0.29624,,0.9,0.0625,0.08775813760000001,0.008813389970181865,seed_replicates,250,False,
CreditRejections_mean,30.0,5.0,16.928000000000004,,0.9,25.0,286.5571840000001,27.368833333333278,seed_replicates,250,False,
FirmDowntimeShare_mean,0.05,0.04,0.059248000000000016,,0.9,0.0016,0.003510325504000002,0.0,seed_replicates,250,False,
