metric,target,sigma_obs,sigma_model,sigma_ev,sigma_ev_quantile,var_obs,var_md,var_ev,source_ev,replicate_groups,enabled_for_sa,notes
Employment_mean,65.0,5.0,5.346,,0.9,25.0,28.579716,21.457592592592693,seed_replicates,350,True,
Output_mean,80.0,10.0,10.692,,0.9,100.0,114.318864,36.72180886510142,seed_replicates,350,True,
Consumption_mean,80.0,10.0,10.692,,0.9,100.0,114.318864,40.014249897898694,seed_replicates,350,True,
AvgPrice_mean,1.05,0.05,0.06237,,0.9,0.0025000000000000005,0.0038900169000000004,0.00039154825226694304,seed_replicates,350,True,
DefaultsHH_rate,0.004,0.002,0.0024300000000000003,,0.9,4e-06,5.904900000000002e-06,1.7358126721763541e-06,seed_replicates,350,True,
BankFailed_share,0.0,0.01,0.008100000000000001,,0.9,0.0001,6.561000000000002e-05,0.0,seed_replicates,350,True,
BankResolved_share,0.05,0.03,0.04050000000000001,,0.9,0.0009,0.0016402500000000006,0.0011225895316804423,seed_replicates,350,True,
BankResolutionHaircut_mean,0.02,0.01,0.016200000000000003,,0.9,0.0001,0.00026244000000000007,9.723676446102647e-05,seed_replicates,350,True,
BankBailedOut_share,0.02,0.02,0.0243,,0.9,0.0004,0.0005904899999999999,8.953168044077136e-05,seed_replicates,350,True,
BankBailoutAmount_mean,0.2,0.2,0.18792,,0.9,0.04000000000000001,0.0353139264,0.03381192869996303,seed_replicates,350,True,
Transfers_mean,6.5,2.0,1.8792000000000002,,0.9,4.0,3.531392640000001,0.2509425733705925,seed_replicates,350,True,
HH_Deposit_mean,1.5,1.0,0.9396000000000001,,0.9,1.0,0.8828481600000002,0.25916702748725845,seed_replicates,350,True,
Bank_Equity_mean,10.0,7.5,6.2694,,0.9,56.25,39.305376360000004,20.700991836952536,seed_replicates,350,True,
PriceDispersion_mean,0.1,0.06,0.0972,,0.9,0.0036,0.009447839999999999,0.00038437364085404325,seed_replicates,350,False,
InventoryGap_mean,0.0,0.25,0.28350000000000003,,0.9,0.0625,0.08037225000000002,0.01346947761448752,seed_replicates,350,False,
CreditRejections_mean,80.0,10.0,16.2,,0.9,100.0,262.44,537.9071111111112,seed_replicates,350,False,
FirmDowntimeShare_mean,0.05,0.04,0.056700000000000014,,0.9,0.0016,0.0032148900000000015,0.0,seed_replicates,350,False,
