metric,target,sigma_obs,sigma_model_base,sigma_model_calibrated,sigma_model_delta,sigma_model_source,residual_groups,residual_median_abs,residual_q75_abs,notes
Employment_mean,65.0,5.0,7.9061400000000015,7.9061400000000015,0.0,fixed_baseline,0,,,
Output_mean,80.0,10.0,15.812280000000003,15.812280000000003,0.0,fixed_baseline,0,,,
Consumption_mean,80.0,10.0,15.812280000000003,15.812280000000003,0.0,fixed_baseline,0,,,
AvgPrice_mean,1.05,0.05,0.09223830000000002,0.09223830000000002,0.0,fixed_baseline,0,,,
DefaultsHH_rate,0.004,0.002,0.003593700000000001,0.003593700000000001,0.0,fixed_baseline,0,,,
BankFailed_share,0.0,0.01,0.011979000000000002,0.011979000000000002,0.0,fixed_baseline,0,,,
BankResolved_share,0.05,0.03,0.05989500000000001,0.05989500000000001,0.0,fixed_baseline,0,,,
BankResolutionHaircut_mean,0.02,0.01,0.023958000000000004,0.023958000000000004,0.0,fixed_baseline,0,,,
BankBailedOut_share,0.02,0.02,0.03593700000000001,0.03593700000000001,0.0,fixed_baseline,0,,,
BankBailoutAmount_mean,0.2,0.2,0.2779128000000001,0.2779128000000001,0.0,fixed_baseline,0,,,
Transfers_mean,6.5,2.0,2.7791280000000005,2.7791280000000005,0.0,fixed_baseline,0,,,
HH_Deposit_mean,1.5,1.0,1.3895640000000002,1.3895640000000002,0.0,fixed_baseline,0,,,
Bank_Equity_mean,10.0,7.5,9.271746000000004,9.271746000000004,0.0,fixed_baseline,0,,,
PriceDispersion_mean,0.1,0.06,0.14374800000000004,0.14374800000000004,0.0,fixed_baseline,0,,,
InventoryGap_mean,0.0,0.25,0.4192650000000001,0.4192650000000001,0.0,fixed_baseline,0,,,
CreditRejections_mean,30.0,5.0,23.958000000000006,23.958000000000006,0.0,fixed_baseline,0,,,
FirmDowntimeShare_mean,0.05,0.04,0.08385300000000002,0.08385300000000002,0.0,fixed_baseline,0,,,
