metric,skipped,reason,y_transform,gpr_r2,gpr_rmse,gpr_r2_cv_mean,gpr_r2_cv_std,rf_r2,rf_rmse,rf_r2_cv_mean,rf_r2_cv_std
Employment_mean,False,,identity,0.15746615145839482,5.6062247890515255,-0.01363109874873567,0.672038895136563,0.09440518045340396,5.8122434046198945,0.042086105832020215,0.6016278301916866
UnemploymentRate_mean,False,,identity,0.15746615145839504,0.05606224789051525,-0.013631098748736182,0.672038895136564,0.09998297491846897,0.057943161965814234,0.04110554301315537,0.6039558395111679
Output_mean,False,,identity,0.5466350247801839,9.209597459354304,0.6535581650440652,0.1280532810328025,0.7114829505093339,7.346870866019838,0.7127600224364857,0.07308114011644812
Consumption_mean,False,,identity,0.3647987046989005,8.300267409707454,0.39568191317205376,0.3879204322617237,0.5090705914617224,7.297026461166805,0.43725768914513824,0.4111044546767788
Transfers_mean,False,,identity,0.522504827617897,0.628973164785514,0.48909245058248213,0.2896872674352895,0.4752450278337379,0.659365022393646,0.511885877450798,0.3302610994031065
AvgPrice_mean,False,,identity,0.9780903367852175,0.01748833877994418,0.97166222667084,0.009255400946106013,0.9702065370827956,0.02039347332103985,0.9713403446118425,0.005178712486263897
AvgMarkup_mean,False,,identity,0.5290404386009818,0.01609542143576947,0.4886801783792629,0.0806583757891292,0.5126771704809765,0.01637264788900223,0.4928195825497318,0.07567333927927386
PriceDispersion_mean,False,,identity,0.5027197911048444,0.017857097780421216,0.6216556640088878,0.023712009859455378,0.6648704968075037,0.014659414351886592,0.6397487805421134,0.018919569727053682
InventoryGap_mean,False,,identity,-0.4438758792076778,0.3263605869090436,-0.6266262177216622,1.4067792682929972,-0.5707501099521739,0.3403974705256915,-0.4765511935842211,1.4566969286184834
SalesForecastError_mean,False,,identity,0.13432900773776324,0.03496968971526186,0.06114760877114267,0.5308485589610467,0.17287962072200058,0.03418217608669265,0.11118742257944539,0.473051186646101
InventoryTurnover_mean,False,,identity,0.6717205767566627,0.07661919731004305,0.6614881865646165,0.09824349019809026,0.6133362399795201,0.08315387683548149,0.6967231215114977,0.08879545811569739
CreditRequests_mean,False,,identity,0.3849690329268627,6.543690987362882,0.17567043441350072,0.21628422433152303,0.37842052782482205,6.578435524576001,0.16005480658158272,0.28564882329482133
CreditRejections_mean,False,,identity,0.2788206406941458,16.03119119497479,0.20772039515632884,0.1011677568357387,0.34406128446707174,15.288883876050908,0.1579196283714894,0.12641147776684825
CreditRejectionRate_mean,False,,identity,0.2836660509020782,0.16327955700733862,0.19801759597031474,0.0984928774558655,0.30982539978726187,0.16027047813424875,0.13879421453886392,0.1305002031304178
FirmDowntimeShare_mean,True,low_variance,,,,,,,,,
ReentryCount_mean,False,,identity,0.6780586657885286,0.02126285428691556,0.3230088322418514,0.2903231916846048,0.6812375913134474,0.021157616609480612,0.41395523969695525,0.2375510312159892
UnemploymentTransfers_mean,False,,identity,0.2169791916111612,0.6752709389177695,0.1352668287200843,0.4754540564130218,0.04380194492847167,0.746217339054787,0.13978031511398198,0.5043082328132648
HH_Debt_mean,False,,log1p,-0.07476514407806012,46.50520018076592,0.039000794598734914,0.09072945937269236,0.20289507677504126,40.0499960171943,0.10109654778184082,0.053597257221331636
HH_Deposit_mean,False,,log1p,0.8675664795419611,0.32083488912218494,0.84371086441571,0.01955482614110905,0.8786692230509685,0.3070917269933786,0.8521740296726985,0.02423569264658006
Firm_Debt_mean,False,,log1p,0.05796902908639201,32.42149686353525,0.1009334912970818,0.11500052034491985,0.38547960826090155,26.18596726392128,0.30940131419138545,0.2621134033362179
Bank_Equity_mean,False,,log1p,-0.010855397551536639,12.853700883186209,0.0976531582153489,0.10043136892320843,0.19036068280795115,11.503485967652459,0.2041462137332976,0.27145195972699543
BankFailed_mean,True,low_variance,,,,,,,,,
BankResolved_mean,False,,identity,0.17762669040476253,0.07204090447065511,0.3917675128885657,0.13103897246459678,0.17015375034544256,0.07236748356876481,0.40456868371993737,0.14198580581473114
BankResolutionAmount_mean,False,,identity,0.17356330307504708,1.005499424444036,0.4051931812557177,0.10614640952396394,0.22940000370460045,0.970938072481476,0.41407822531735883,0.10617395755935101
BankResolutionHaircut_mean,False,,identity,0.5755017667547582,0.014650090840313832,0.7210211291802461,0.05461272329522221,0.671463369240715,0.012888259551717721,0.734581694825814,0.0453141930584232
BankBailedOut_mean,True,low_variance,,,,,,,,,
BankBailoutAmount_mean,False,,identity,0.4712936430973371,0.41249613971329124,0.8062065012711649,0.03188934520413432,0.5659475975928845,0.3737521543719481,0.8077510822308831,0.04574238015380183
Defaults_mean,False,,identity,0.2246947521371533,0.48887059270488337,-0.18810339648286883,1.04056168349121,0.19813438371951153,0.49717392987781406,-0.0154401982809256,0.616052749590593
DefaultsHH_mean,False,,identity,0.20086054166044043,0.48032109593362465,-0.1633013622314862,0.9803729493970513,0.17973010035831505,0.48662986840119776,-0.009598549764120824,0.5961336316347013
DefaultsFirm_mean,True,low_variance,,,,,,,,,
BalanceOK_mean,True,low_variance,,,,,,,,,
DefaultsHH_rate,False,,identity,0.6902707852128132,0.002055677216199094,0.7498316076682914,0.07083337448937801,0.6514663279504973,0.0021806512145401006,0.7951386221374847,0.04135818157351878
DefaultsFirm_rate,False,,identity,0.4627694086320092,0.0015381035011361377,0.5557905852911444,0.12935218263171053,0.616065735157528,0.0013002702618197446,0.5834858798378008,0.11020046775746188
BalanceOK_share,True,low_variance,,,,,,,,,
BankFailed_share,True,low_variance,,,,,,,,,
BankResolved_share,False,,identity,0.6627658503637047,0.029763934180100465,0.664057146261949,0.03216605982087199,0.7129505610687367,0.02746015051525904,0.6854379331592266,0.04222886281941802
BankBailedOut_share,False,,identity,0.40409048800626035,0.012061268177709472,0.646834888711547,0.08972743045366383,0.4943642704668948,0.01111019527959119,0.6398382941765961,0.09164946145123123
