,Employment,UnemploymentRate,WageBill,Output,Production,Consumption,HH_Deposit,HH_Debt,Firm_Debt,Firm_Cash,Inventories,AvgPrice,Bank_Equity,Bank_Loans,Bank_Deposits,Defaults,BalanceOK
0,64,0.19999999999999996,64.0,64.8182639876746,64.8182639876746,157.04346981180674,1.8863990511824924,13.656486897500937,7.40739951844342,72.30667352402214,0.0,1.1361926053705924,4.320534049895189,21.063886415944356,74.19307257520464,0,True
1,72,0.09999999999999998,72.0,64.11238344986467,72.92054698613393,72.70627935310573,0.1299970576333519,12.870061999751641,6.495817495906165,72.31475623184187,8.808163536269252,1.1361926053705924,4.370846415338052,19.365879495657808,72.44475328947522,0,True
2,72,0.09999999999999998,72.0,62.942228407303155,72.92054698613393,71.37927176373023,0.021904777240805813,12.397992737796198,6.9793304150181195,72.40919834592512,18.786482115100014,1.1361926053705924,4.395940238803832,19.377323152814316,72.43110312316593,0,True
3,72,0.09999999999999998,72.0,62.25809491169031,72.92054698613393,70.60343411162138,0.00382713261508098,11.231199535661588,8.255111066670938,72.51087249262861,29.448934189543635,1.1361926053705924,4.421331186244289,19.486310602332527,72.5146996252437,0,True
4,70,0.125,70.0,62.82786149914687,70.95681123733874,70.13520486732996,0.0006832590778035022,11.587865384504443,8.00485655159372,72.59327498601107,37.57788392773549,1.1172103842860577,4.448483900164721,19.592721936098165,72.59395824508887,0,True
5,65,0.1875,65.0,63.35072777660535,65.88462974477633,69.16590887397214,0.00012377689403040074,15.984968667687536,5.038146879463979,73.99534343175165,40.11178589590648,1.0926539552882593,4.47736854766124,21.023115547151516,73.99546720864568,0,True
6,64,0.19999999999999996,64.0,61.644910212295144,64.8182639876746,67.30350845096909,2.2673301395985312e-05,19.60807476953327,3.6064161222272464,76.13633490505349,43.28513967128594,1.0926539552882593,4.527853522561042,23.21449089176052,76.13635757835489,0,True
7,64,0.19999999999999996,64.0,60.14408858544902,64.8182639876746,65.66492124728966,4.1913732754208245e-06,21.665138916918973,3.658793017347216,78.16218639954386,47.95931507351152,1.0926539552882593,4.611461552504478,25.323931934266188,78.16219059091713,0,True
8,64,0.19999999999999996,64.0,59.22342768715955,64.8182639876746,64.24190081566208,7.809264955159214e-07,22.34033907951579,4.115919897421479,79.17884916693096,53.55415137402657,1.086792926876219,4.727129238235216,26.45625897693727,79.17884994785746,0,True
9,64,0.19999999999999996,64.0,58.804105594129126,64.8182639876746,63.44685799969779,1.4651021254915788e-07,18.22411789513285,5.013290544790682,79.83665366188418,59.568309767572025,1.0803914268499806,4.860360168034674,23.23740843992353,79.8366538083944,1,True
10,64,0.19999999999999996,64.0,63.25217874520784,64.8182639876746,67.48562770320169,2.765672388865694e-08,22.074227836651158,5.464824832871619,84.07273311058042,61.13439501003877,1.0678107057916844,4.925925067791173,27.539052669522775,84.07273313823714,0,True
11,64,0.19999999999999996,64.0,61.37972070293774,64.8182639876746,65.10587130594082,5.249636832621673e-09,23.621583676779633,4.764153341375492,84.7890000939206,64.57293829477564,1.0616279356168303,5.056342455490443,28.385737018155126,84.78900009917024,0,True
12,64,0.19999999999999996,64.0,61.13555769195536,64.8182639876746,64.46753460809617,1.0014023812775727e-09,24.561549954136915,4.790603805281128,85.61164709956448,68.25564459049488,1.0554848051625543,5.200112195357693,29.352153759418044,85.61164710056588,0,True
13,64,0.19999999999999996,64.0,61.578149200574885,64.8182639876746,64.19226284543743,1.9187586179992757e-10,25.245043797842552,5.170992471539261,86.51654477065223,71.4957593775946,1.0432542767938857,5.3590970350432245,30.416036269381813,86.5165447708441,0,True
14,64,0.19999999999999996,64.0,61.19411592420589,64.8182639876746,63.791926600550035,3.691198821036425e-11,25.54187127419351,5.959385018950078,87.42602679303556,75.1199074410633,1.0432542767938857,5.5348350365766406,31.50125629314359,87.42602679307247,0,True
15,64,0.19999999999999996,64.0,61.180774783723244,64.8182639876746,63.77801910239301,7.126416771815621e-12,25.830727802040418,6.849933367632472,88.41253667769713,78.75739664501468,1.0432542767938857,5.72773002847415,32.68066116967289,88.41253667770425,0,True
16,64,0.19999999999999996,64.0,61.26414434939947,64.8182639876746,63.86492787023803,1.3802861706029088e-12,26.212270228313475,7.759216810968383,89.4918120073069,82.3115162832898,1.0432542767938857,5.939280568479087,33.971487039281854,89.49181200730828,0,True
17,64,0.19999999999999996,64.0,61.37895095548406,64.8182639876746,63.98460824273784,2.681101432250598e-13,26.721123875616463,8.665159449841317,90.67463761273484,85.75082931548036,1.0432542767938857,6.171251249228183,35.38628332545778,90.67463761273511,0,True
18,64,0.19999999999999996,64.0,61.510415449055806,64.8182639876746,64.12165366283828,5.221183989602141e-14,27.37720001596686,9.560237093619197,91.97143891841785,89.05867785409916,1.0432542767938857,6.425603727673663,36.93743710958606,91.9714389184179,0,True
19,64,0.19999999999999996,64.0,62.0739241758046,64.8182639876746,64.27330884027296,1.0190941049999033e-14,28.198052856559116,10.458834480585807,93.41199759837713,91.80301766596915,1.0373932483818455,6.704495275273295,38.65688733714492,93.41199759837714,0,True
20,63,0.21250000000000002,63.0,61.63732029062272,63.841930319880746,64.253945864731,1.9931436403303474e-15,30.015959778421283,10.493561201899569,94.95855348280205,94.00762769522719,1.0432542767938857,7.010573034024309,40.50952098032085,94.95855348280205,0,True
21,63,0.21250000000000002,63.0,62.1755305931903,63.841930319880746,64.37851534576615,3.905190222021376e-16,31.994794319755844,10.379917409705683,96.48834657975031,95.67402742191763,1.0373932483818455,7.345970686216716,42.374711729461524,96.48834657975031,0,True
22,63,0.21250000000000002,63.0,61.93202492536926,63.841930319880746,64.56116129132329,7.663644841562121e-17,34.19585149747425,10.383425632754056,98.32785947882661,97.5839328164291,1.0432542767938857,7.711023187907195,44.579277130228306,98.32785947882661,0,True
23,63,0.21250000000000002,63.0,62.645166822542194,63.841930319880746,64.86479158514527,1.5060441411186564e-17,36.744560112569,10.190123756962723,100.28331997291959,98.78069631376766,1.0373932483818455,8.110969433117628,46.934683869531725,100.28331997291959,0,True
24,62,0.22499999999999998,62.0,62.28371563376905,62.85452823887941,64.92778196256761,2.963311456316355e-18,40.40723327738799,9.077870149761818,102.39646245301165,99.35150891887803,1.0432542767938857,8.548246510643665,49.48510342714981,102.39646245301165,0,True
25,62,0.22499999999999998,62.0,62.938567244212734,62.85452823887941,65.16858768256112,5.837005496380467e-19,44.38396562549686,7.825767234647447,104.64337212972822,99.2674699135447,1.0373932483818455,9.025966266921603,52.209732860144314,104.64337212972822,0,True
26,62,0.22499999999999998,62.0,62.74656452758001,62.85452823887941,65.41027970299915,1.1508511781540564e-19,48.68192464100597,6.584131812639997,107.17871792667559,99.37543362484409,1.0432542767938857,9.546944063475848,55.266056453645966,107.17871792667559,0,True
27,62,0.22499999999999998,62.0,63.62691713376559,62.85452823887941,65.88132697895384,2.2709836518927055e-20,53.53689011277989,5.204152866595807,110.08427691296582,98.60304472995793,1.0373932483818455,10.11637160291539,58.7410429793757,110.08427691296582,0,True
