metric,target,sigma_obs,sigma_model,sigma_ev,sigma_ev_quantile,var_obs,var_md,var_ev,source_ev,replicate_groups,enabled_for_sa,notes
Employment_mean,65.0,5.0,7.26,,0.9,25.0,52.7076,37.90908333333319,seed_replicates,160,True,
Output_mean,80.0,10.0,14.52,,0.9,100.0,210.8304,61.80923582226576,seed_replicates,160,True,
Consumption_mean,80.0,10.0,14.52,,0.9,100.0,210.8304,63.665474492375495,seed_replicates,160,True,
AvgPrice_mean,1.05,0.05,0.08470000000000001,,0.9,0.0025000000000000005,0.007174090000000002,0.0006437857659926998,seed_replicates,160,True,
DefaultsHH_rate,0.004,0.002,0.0033000000000000004,,0.9,4e-06,1.0890000000000002e-05,2.173148148148192e-06,seed_replicates,160,True,
BankFailed_share,0.0,0.01,0.011000000000000001,,0.9,0.0001,0.00012100000000000003,0.0,seed_replicates,160,True,
BankResolved_share,0.05,0.03,0.05500000000000001,,0.9,0.0009,0.0030250000000000008,0.0012037037037037018,seed_replicates,160,True,
BankResolutionHaircut_mean,0.02,0.01,0.022000000000000002,,0.9,0.0001,0.0004840000000000001,0.0001844104278365361,seed_replicates,160,True,
BankBailedOut_share,0.02,0.02,0.033,,0.9,0.0004,0.0010890000000000001,0.0001666666666666665,seed_replicates,160,True,
BankBailoutAmount_mean,0.2,0.2,0.25520000000000004,,0.9,0.04000000000000001,0.06512704000000002,0.05551470980361916,seed_replicates,160,True,
Transfers_mean,6.5,2.0,2.552,,0.9,4.0,6.512704,0.5080759460820294,seed_replicates,160,True,
HH_Deposit_mean,1.5,1.0,1.276,,0.9,1.0,1.628176,0.4239447697767009,seed_replicates,160,True,
Bank_Equity_mean,10.0,7.5,8.514000000000001,,0.9,56.25,72.48819600000002,13.99568641717453,seed_replicates,160,True,
PriceDispersion_mean,0.1,0.06,0.132,,0.9,0.0036,0.017424000000000002,0.0003957848556801464,seed_replicates,160,False,
InventoryGap_mean,0.0,0.25,0.385,,0.9,0.0625,0.148225,0.04542176345059331,seed_replicates,160,False,
CreditRejections_mean,80.0,10.0,22.0,,0.9,100.0,484.0,567.3962499999998,seed_replicates,160,False,
FirmDowntimeShare_mean,0.05,0.04,0.07700000000000001,,0.9,0.0016,0.005929000000000002,0.0,seed_replicates,160,False,
